Yorum,Duygu,Kategori,Örnek Yanıt
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik sözleriniz ve değerli tavsiyeniz için içtenlikle teşekkür ederiz. Ekibimizin sizlere yardımcı olabilmiş olması bizleri çok mutlu etti. Sizleri en kısa sürede tekrar ağırlamaktan onur duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, tesisimizde yaşadığınız olumsuz deneyimler için derin üzüntü duyduğumuzu belirtmek isteriz. Geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup, hizmet kalitemizi artırmak adına gerekli önlemler ivedilikle alınacaktır. Sizi tekrar ağırlayarak bu durumu telafi etme şansı bulmayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili paylaştığınız değerli görüşleriniz için teşekkür ederiz. Deneyiminizi daha üst seviyeye taşımak adına geri bildirimlerinizi titizlikle değerlendireceğimizi belirtmek isteriz. Sizi en kısa sürede tekrar ağırlamaktan mutluluk duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik yorumlarınız ve değerli tavsiyeniz için içtenlikle teşekkür ederiz. Ekibimizin size hissettirdiği memnuniyet bizler için en büyük motivasyon kaynağıdır; sizi tekrar ağırlamaktan mutluluk duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyduğumuzu belirtmek isteriz. Geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş olup, hizmet standartlarımızı yükseltmek adına gerekli önlemler hızla alınacaktır."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, değerli vaktinizi ayırarak görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha mükemmel bir konaklama deneyimi sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, nazik yorumlarınız ve bizi tavsiye ettiğiniz için teşekkür ederiz. Personelimiz hakkındaki güzel geri bildirimlerinizi kendileriyle paylaşmaktan mutluluk duyacağız. Sizi tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntülerimizi bildiririz. Yemek ve temizlik konusundaki geri bildirimleriniz ilgili departman sorumlularımızla paylaşılmış olup gerekli iyileştirmeler ivedilikle yapılacaktır. Sizleri tekrar ağırlayarak hizmet standartlarımızı kanıtlamayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın misafirimiz, değerli vaktinizi ayırıp görüşlerinizi paylaştığınız için teşekkür ederiz. Deneyiminizi daha üst seviyeye taşımak adına geri bildirimleriniz bizim için çok kıymetlidir; sizi tekrar ağırlayarak beklentilerinizi tam anlamıyla karşılamayı arzu ederiz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, nazik geri bildirimleriniz ve değerli tavsiyeniz için teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmanız bizleri çok mutlu etti. Sizi en kısa sürede tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız süresince yaşadığınız olumsuz deneyimler için derin üzüntü duyuyor ve içtenlikle özür diliyoruz. Belirttiğiniz hususlar ilgili departman yöneticilerimize iletilmiş olup, hizmet kalitemizi artırmak adına gerekli önlemler ivedilikle alınacaktır. Sizi gelecekte tekrar ağırlayarak gerçek standartlarımızı sunmayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli geri bildiriminiz için teşekkür ederiz. Deneyiminizin genel olarak memnuniyet verici olması bizi mutlu etti; sizlere daha mükemmel bir hizmet sunabilmek adına gelişim alanlarımızı dikkatle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik yorumlarınız ve bizi tercih ettiğiniz için teşekkür ederiz. Personelimiz hakkındaki memnuniyetinizi duymak bizleri çok mutlu etti; bu değerli geri bildiriminizi ilgili ekibimizle paylaşacağız. Sizleri en kısa sürede tekrar ağırlamak dileğiyle."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntülerimizi bildiririz. Yemek ve temizlik standartlarımızla ilgili geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup, gerekli iyileştirmeler ivedilikle başlatılmıştır."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanız sonrası değerli vaktinizi ayırıp görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere çok daha mükemmel bir deneyim sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Bir sonraki ziyaretinizde sizi çok daha mutlu etmeyi arzu ederiz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırıp bu güzel yorumu paylaştığınız için teşekkür ederiz. Personelimizin ilgisinden memnun kalmanız bizleri çok mutlu etti; bu nazik geri bildiriminizi ilgili ekibimizle memnuniyetle paylaşacağız. Sizi en kısa sürede tekrar ağırlamak dileğiyle."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup gerekli iyileştirmeler ivedilikle başlatılmıştır. Sizleri gelecekte tekrar ağırlayarak gerçek hizmet standartlarımızı sunmayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizi tercih ettiğiniz ve değerli vaktinizi ayırarak nazik yorumlarınızı paylaştığınız için teşekkür ederiz. Personelimizin size yardımcı olabilmiş olması bizleri çok mutlu etti; sizi tekrar ağırlamaktan onur duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntülerimizi bildiririz. Yemek ve temizlik standartlarımızla ilgili geri bildirimlerinizi ilgili departman yöneticilerimize ilettik ve gerekli düzeltici faaliyetleri başlattık. Sizi gelecekte tekrar ağırlayarak standartlarımızı kanıtlamayı çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, konaklamanızla ilgili değerli geri bildiriminiz için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına gelişim alanlarımızı titizlikle inceleyeceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizde konakladığınız süre boyunca personelimizin ilgisinden memnun kalmış olmanız bizi çok mutlu etti. Nazik geri bildiriminiz ve tavsiyeleriniz için teşekkür ederiz. Sizleri tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup, hizmet kalitemizi artırmak adına gerekli önlemler ivedilikle alınacaktır."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, konaklamanızla ilgili değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere her zaman daha mükemmel bir deneyim sunabilmek adına geri bildirimlerinizi titizlikle değerlendireceğiz. Sizi tekrar ağırlamaktan mutluluk duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik yorumlarınız ve değerli tavsiyeniz için teşekkür ederiz. Ekibimizin size yardımcı olabilmiş olması bizleri çok mutlu etmiştir; sizi tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntülerimizi bildiririz. Yemek ve temizlik konusundaki geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup gerekli iyileştirmeler ivedilikle başlatılmıştır. Sizleri gelecekte tekrar ağırlayarak standartlarımızı kanıtlamayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha kusursuz bir deneyim sunabilmek adına hizmet kalitemizi geliştirmeye devam ediyoruz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırarak paylaştığınız nazik yorumlarınız için içtenlikle teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmış olmanız bizleri çok mutlu etti; sizi en kısa sürede tekrar ağırlamak dileğiyle."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız süresince yaşadığınız aksaklıklar ve memnuniyetsizliğiniz için içtenlikle özür dileriz. Geri bildirimleriniz kalite standartlarımızı yükseltmek adına ilgili departmanlarımıza iletilmiş olup gerekli önlemler ivedilikle alınacaktır. Sizleri gelecekte tekrar ağırlayarak sizlere kusursuz bir deneyim sunmayı arzu ederiz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, değerli vaktinizi ayırıp görüşlerinizi bizimle paylaştığınız için teşekkür ederiz. Deneyiminizi daha mükemmel hale getirmek ve size her açıdan kusursuz bir konaklama sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Sizleri tekrar otelimizde ağırlamaktan mutluluk duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırıp nazik geri bildirimlerinizi paylaştığınız için teşekkür ederiz. Ekibimizin ilgisinden ve hizmet kalitemizden memnun kalmış olmanız bizler için en büyük motivasyon kaynağıdır. Sizleri en kısa sürede tekrar ağırlamaktan mutluluk duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntülerimizi sunarız. Geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup, hizmet standartlarımızı iyileştirmek adına gerekli tüm önlemler ivedilikle alınacaktır. Sizleri gelecekte tekrar ağırlayarak bu durumu telafi etmeyi dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanız sonrası değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına geri bildirimlerinizi titizlikle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik yorumlarınız ve tavsiyeniz için içtenlikle teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmış olmanız bizler için büyük bir mutluluk kaynağıdır. Sizleri tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Nötr,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyuyoruz. Yemek ve temizlik konusundaki geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş olup, gerekli düzeltici faaliyetler ivedilikle başlatılmıştır. Sizleri gelecekte tekrar ağırlayarak standartlarımızı kanıtlamayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, değerli geri bildiriminiz için teşekkür ederiz. Sizlere sunduğumuz hizmet kalitesini daha üst seviyelere taşımak adına önerilerinizi dikkatle değerlendireceğiz. Sizi yeniden ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, değerli geri bildiriminiz ve nazik tavsiyeleriniz için teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmış olmanız bizleri çok mutlu etti. Sizleri en kısa sürede tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyuyor ve sizden içtenlikle özür diliyoruz. Yemek ve temizlik konusundaki geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş olup, hizmet standartlarımızı yükseltmek adına gerekli önlemler ivedilikle alınmıştır. Sizleri gelecekte tekrar ağırlayarak bu hatalarımızı telafi etmeyi çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili geri bildiriminiz için teşekkür ederiz. Sizlere daha kusursuz bir deneyim sunabilmek adına hizmet kalitemizi geliştirmeye devam ediyoruz. Bir sonraki ziyaretinizde sizi çok daha memnun ayrılırken görmeyi temenni ederiz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırıp bu güzel geri bildirimi paylaştığınız için teşekkür ederiz. Personelimizin size hissettirdiği memnuniyet bizler için en büyük motivasyon kaynağıdır. Sizleri en kısa sürede tekrar otelimizde ağırlamaktan mutluluk duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyuyoruz. Belirttiğiniz hususlar ilgili departmanlarımıza iletilmiş olup gerekli önlemler ivedilikle alınacaktır. Sizleri tekrar ağırlayarak hizmet kalitemizi kanıtlamayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın misafirimiz, değerli vaktinizi ayırıp geri bildirimde bulunduğunuz için teşekkür ederiz. Fiyat-performans dengemizi makul bulmanız bizleri mutlu etse de, deneyiminizi mükemmelleştirmek adına görüşlerinizi dikkatle değerlendireceğiz. Sizleri gelecekte çok daha yüksek bir memnuniyet seviyesinde ağırlamayı dileriz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizde geçirdiğiniz deneyimden memnun kalmanız ve ekibimizin ilgisinden dolayı mutluluk duymanız bizi çok sevindirdi. Değerli tavsiyeleriniz ve nazik yorumlarınız için teşekkür eder, sizi tekrar ağırlamayı dört gözle bekleriz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Belirttiğiniz hususlar ilgili departmanlarımıza iletilmiş olup gerekli iyileştirmeler ivedilikle başlatılmıştır. Sizleri tekrar ağırlayarak gerçek hizmet kalitemizi kanıtlamayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, değerli vaktinizi ayırıp görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha kusursuz bir konaklama deneyimi sunabilmek adına geri bildirimlerinizi titizlikle değerlendireceğiz. Sizi yeniden ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, değerli vaktinizi ayırarak paylaştığınız nazik yorumlarınız için teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmış olmanız bizleri çok mutlu etti; bu güzel geri bildiriminizi tüm personelimizle paylaşacağız. Sizleri en kısa sürede tekrar ağırlamak dileğiyle."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız süresince yaşadığınız memnuniyetsizlikler için içtenlikle özür dileriz. Yemek ve temizlik standartlarımızla ilgili geri bildirimlerinizi ivedilikle ilgili departmanlarımıza ilettik ve gerekli önlemleri başlattık. Sizleri gelecekte yeniden ağırlayarak size gerçek hizmet kalitemizi kanıtlamayı çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına geri bildirimlerinizi titizlikle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizde konakladığınız süre boyunca ekibimizin ilgisinden memnun kalmış olmanız bizleri çok mutlu etti. Değerli tavsiyeleriniz ve nazik geri bildiriminiz için teşekkür eder, sizleri en kısa sürede tekrar ağırlamayı dileriz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın misafirimiz, yaşadığınız olumsuz deneyimler için derin üzüntü duyduğumuzu belirtmek isteriz. Yemek ve temizlik konusundaki geri bildirimlerinizi ilgili departmanlarımıza ileterek gerekli iyileştirmeleri derhal başlattık. Sizleri tekrar ağırlayarak standartlarımızı kanıtlamayı çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli geri bildiriminiz için teşekkür ederiz. Hizmet kalitemizi daha da yukarı taşımak adına görüşlerinizi dikkatle değerlendireceğiz. Sizi tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırıp bu nazik yorumu paylaştığınız için teşekkür ederiz. Ekibimizin size yardımcı olabilmiş olması ve deneyiminizden memnun kalmanız bizleri çok mutlu etti. Sizi en kısa sürede tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyduğumuzu belirtmek isteriz. Geri bildirimleriniz ilgili departman yöneticilerimizle paylaşılmış olup, hizmet standartlarımızı yükseltmek adına gerekli önlemler hızla alınacaktır. Sizi tekrar ağırlayarak bu eksiklikleri telafi etmeyi çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanız sonrası değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik geri bildiriminiz ve değerli tavsiyeleriniz için içtenlikle teşekkür ederiz. Personelimizin size yardımcı olabilmiş olması bizleri çok mutlu etti; sizleri en kısa sürede tekrar ağırlamaktan onur duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyuyoruz. Belirttiğiniz hususlar ilgili departmanlarımıza iletilmiş olup, hizmet kalitemizi artırmak adına gerekli önlemler ivedilikle alınacaktır. Sizi gelecekte tekrar ağırlayarak size kusursuz bir deneyim sunmayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanız sonrası değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Deneyiminizi daha da iyileştirmek ve size kusursuz bir hizmet sunmak adına geri bildirimlerinizi dikkatle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, nazik sözleriniz ve tavsiyeniz için teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmış olmanız bizleri çok mutlu etti; sizi tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup, hizmet kalitemizi artırmak adına gerekli önlemler ivedilikle alınacaktır. Sizi tekrar ağırlayarak size standartlarımıza uygun, kusursuz bir deneyim sunmayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli geri bildiriminiz için teşekkür ederiz. Sizlere daha üstün bir deneyim sunabilmek adına hizmet kalitemizi geliştirmeye devam ediyoruz. Sizi tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli yorumlarınız ve nazik tavsiyeleriniz için çok teşekkür ederiz. Ekibimizin ilgisinden memnun kalmış olmanız bizleri oldukça mutlu etti. Sizi en kısa sürede tekrar ağırlamayı sabırsızlıkla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyuyoruz. Belirttiğiniz aksaklıklar ilgili departmanlarımıza iletilmiş olup, hizmet kalitemizi artırmak adına gerekli önlemler ivedilikle alınacaktır. Sizleri tekrar ağırlayarak bu durumu telafi etmeyi dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, konaklamanız sonrası değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha kusursuz bir deneyim sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik geri bildiriminiz ve tavsiyeniz için teşekkür ederiz. Ekibimizin size yardımcı olabilmiş olması bizleri çok mutlu etti. Sizleri en kısa sürede tekrar ağırlamak dileğiyle."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyuyor ve sizden içtenlikle özür diliyoruz. İlettiğiniz geri bildirimler ilgili departmanlarımıza aktarılmış olup, hizmet kalitemizi yükseltmek adına gerekli tüm önlemler ivedilikle alınacaktır. Sizleri gelecekte tekrar ağırlayarak bu olumsuzluğu telafi etmeyi çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli geri bildirimleriniz için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına hizmet kalitemizi geliştirmeye devam ediyoruz. Sizleri en kısa sürede tekrar ağırlayarak memnuniyetinizi artırmayı dileriz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırarak paylaştığınız nazik yorumlarınız için teşekkür ederiz. Personelimizin size hissettirdiği memnuniyet bizler için en büyük motivasyon kaynağıdır; sizi tekrar ağırlamaktan mutluluk duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyduğumuzu belirtmek isteriz. Yemek ve temizlik konusundaki geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş olup, gerekli iyileştirmeler ivedilikle yapılacaktır. Sizleri tekrar ağırlayarak hizmet kalitemizi kanıtlamayı çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, değerli vaktinizi ayırıp görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Bir sonraki ziyaretinizde beklentilerinizi tam anlamıyla karşılamayı diliyoruz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, nazik yorumlarınız ve bizi tavsiye ettiğiniz için içtenlikle teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmanız bizleri çok mutlu etti. Sizi tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız süresince yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Belirttiğiniz eksiklikler ilgili departman yöneticilerimize iletilmiş olup gerekli iyileştirmeler ivedilikle başlatılmıştır. Sizi tekrar ağırlayarak size hak ettiğiniz kalite standartlarını sunmayı çok isteriz."
